,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
97,Vermont,52776,69075,601236,20966,404163,213700,16617,8819,9353,1285,1925,1982,3846,1705,2952,738,10944,730,1038,5661,5076,2721,1236,679,733,298,50,2011,11.488833,5.187510979
98,Virginia,61882,905914,7854282,293431,5055962,243100,162354,120276,108951,8311,25075,34773,34825,31469,37283,16254,153554,14992,30269,49513,59295,28417,21356,14374,6460,4551,51,2011,11.53401418,5.803663081
99,Washington,56835,929258,6687073,335445,4297899,256300,150325,97558,93086,9257,23296,34075,29405,14736,38211,15770,118370,14359,23232,42284,50990,23962,14640,11526,6019,3632,53,2011,13.89633402,7.804860003
100,West Virginia,38482,334885,1802655,68754,1148554,99300,40895,23279,22677,3883,9008,7977,4277,4112,10277,6025,25591,3189,5979,7531,9779,6171,5154,4289,1753,2111,54,2011,18.57732067,5.986135611
101,Wisconsin,50395,725797,5554349,232537,3549651,166700,86134,54884,50486,3633,13925,17612,14281,8008,21912,8197,63701,6045,13177,28689,24655,11172,8193,6021,4627,2791,55,2011,13.06718393,6.550982054
102,Wyoming,56322,62629,554314,14089,354598,179900,27581,15686,16305,736,5029,6503,4347,2458,5054,2407,22514,2127,3987,6804,6836,3754,3189,2704,1451,1139,56,2011,11.29846982,3.97323166
104,California,58328,6325319,37303266,2024753,23798381,349400,393073,293614,273372,33799,63709,102706,80849,52337,118611,55190,330921,36092,68640,128854,135715,72600,52689,40181,20169,12046,06,2012,16.95647507,8.507944301
105,Colorado,56765,694842,5069071,197127,3270163,234900,133724,84439,77091,6057,19323,29968,25033,15865,25223,16025,105952,10243,22973,32068,35116,22380,17089,12078,6008,3575,08,2012,13.7074821,6.028048143
106,Connecticut,67276,372390,3484178,172807,2233159,267800,66228,42412,44611,2431,8097,10380,16775,11688,12518,4171,54912,2943,7647,27062,23010,7571,6725,6586,3266,2213,09,2012,10.68803029,7.73823091
107,Delaware,58415,107307,890738,37469,561217,226900,18607,12858,12291,953,2704,3807,3650,2522,4450,1647,17230,2505,2619,6389,5720,1889,2094,1480,1032,1421,10,2012,12.04697678,6.676383645
108,District of Columbia,66583,108732,598151,36029,442390,460700,30351,31412,28101,2927,6201,7408,8870,12200,12253,3100,36118,3039,5998,12870,17284,9764,5599,2892,1368,699,11,2012,18.17801859,8.144171432
109,Florida,45040,3238581,18912479,996250,11578613,148200,325763,217915,210410,29528,69259,82057,55538,32426,90815,41518,260858,23639,54478,81400,95708,51545,43927,33449,21631,22548,12,2012,17.12404281,8.604225739
110,Georgia,47209,1848533,9652596,497968,6117277,142300,162809,131655,120607,13303,28477,42632,36911,21933,46373,20925,159927,17133,38600,53273,56594,36460,23363,15903,7244,3692,13,2012,19.15063057,8.140353952
111,Hawaii,66259,157243,1356822,45676,833610,496600,35466,31420,30089,1842,6484,12222,9377,4049,9619,4582,40668,5067,9617,12851,14864,8153,4307,3064,1766,1820,15,2012,11.58906622,5.479300872
112,Idaho,45489,248494,1565511,55611,944959,154500,50611,28613,26578,3941,6387,8484,7043,4071,8376,6601,36021,3085,6403,15777,13308,5180,3837,3885,2054,1662,16,2012,15.87302804,5.885017234
113,Illinois,55137,1850562,12573676,632030,8006505,170600,198237,138518,139435,12426,29918,39686,39775,31753,53971,18483,166028,14795,34884,74716,60784,32401,22076,20409,11456,6432,17,2012,14.71774841,7.893956227
114,Indiana,46974,990325,6342423,265550,3998258,122700,114355,74558,70039,9403,19498,25279,17325,13313,28673,11336,92342,7351,19265,33163,32639,19580,13906,9374,5369,3950,18,2012,15.61430072,6.641642435
115,Iowa,50957,377484,2974225,80508,1862753,126300,63620,37811,35514,3355,8703,10836,10608,5953,15143,7537,44130,4774,9903,19193,15771,8812,5193,5446,2176,2057,19,2012,12.69184409,4.321990087
116,Kansas,50241,391734,2802207,88766,1729836,130100,72185,46605,46529,4892,11456,15586,13436,9434,13769,10130,62491,6865,13444,18021,21866,11002,10419,5588,3958,1971,20,2012,13.97948117,5.13146911
117,Kentucky,41724,823197,4247103,177871,2685735,120800,83134,54892,48112,6348,17148,20308,10332,7163,23175,13924,58473,8323,14895,18487,22635,14593,9191,7900,3531,3449,21,2012,19.38255324,6.622805303
118,Louisiana,42944,891981,4471142,178941,2804831,139500,64851,50219,45737,6616,14624,17067,10674,6967,21095,9424,59015,7878,14436,17694,23532,12114,8746,6856,2438,2262,22,2012,19.94973544,6.379742665
119,Maine,46709,189786,1293457,48362,830767,172300,34779,20109,18465,1334,5930,6799,4161,2835,8107,3194,23190,2844,5292,9379,8064,3529,3710,2325,2269,1162,23,2012,14.67277227,5.821367483
