,Name,Household Income,Poverty Count,Total for poverty status,Unemployed in labor force,Total for employment status,Median house price,Moved to a different state,Moved to different state Male,Moved to different state Female,Moved to different state Less than high school graduate,Moved to different state High school graduate,Moved to different state Some college or associate's degree,Moved to different state Bachelor's degree,Moved to different state Graduate or professional degree,Moved to different state Below 100 percent of the poverty level,Moved to different state 100 to 149 percent of the poverty level,Moved to different state above 150 percent of the poverty level,Moved to different state 1 to 4 years,Moved to different state 5 to 17 years,Moved to different state 18 to 24 years,Moved to different state 25 to 34 years,Moved to different state 35 to 44 years,Moved to different state 45 to 54 years,Moved to different state 55 to 64 years,Moved to different state 65 to 74 years,Moved to different state 75 years and over,State,Year,Poverty Rate,Unemployment Rate
387,Minnesota,68388,517476,5450582,101185,3394526,224000,103328,63293,61837,2703,12475,17485,20047,12840,18092,8735,76794,5600,11808,42172,26459,13352,7634,8031,6348,3726,27,2017,9.493958627,2.980828546
388,Mississippi,43529,571219,2889851,86182,1757841,120200,46221,41429,36614,5880,11022,13649,9632,5878,15957,9328,45572,4192,11515,16275,19977,8560,7354,6135,2333,1702,28,2017,19.76638242,4.902718733
389,Missouri,53578,795732,5928516,126789,3644362,156700,117244,77471,75813,5856,17040,24099,20552,20046,20485,12207,106923,10097,19221,36373,36688,19232,12598,8079,6876,4120,29,2017,13.42211103,3.479045166
390,Montana,53386,127777,1024513,17333,622438,231300,24669,15395,12617,1125,3854,5544,4697,1579,3557,2893,19544,1384,3272,6557,7711,2273,1893,2451,1368,1103,30,2017,12.47197449,2.784695022
391,Nebraska,59970,200909,1865038,30900,1135772,155800,39684,24158,23602,2320,7020,8640,6388,5001,7353,2811,33103,2995,5270,10126,11443,6187,4050,4129,2348,1212,31,2017,10.77238105,2.720616462
392,Nevada,58003,384120,2954279,82647,1824618,258200,67102,50660,47566,5214,18183,20895,12425,8332,20938,9467,62309,6601,13710,12866,22783,13820,11595,6803,6368,3680,32,2017,13.00215721,4.529550843
393,New Hampshire,73381,99966,1298898,25412,839864,263600,36942,19980,21760,1047,5859,7866,6899,4996,4327,2238,29547,1612,2760,10701,9169,3914,3641,4338,3865,1740,33,2017,7.696216331,3.025727975
394,New Jersey,80088,882673,8831200,231672,5551273,334900,144085,110210,114751,10758,24685,28549,37996,31335,34211,13610,143035,11973,22095,57570,54371,23758,16462,17718,13106,7908,34,2017,9.9949384,4.17331304
395,New Mexico,46744,401755,2044187,57078,1220658,171300,51497,32338,34958,2622,8523,12397,10494,7569,12528,3639,46233,5511,8954,11226,15080,6949,5888,6507,4168,3013,35,2017,19.65353463,4.676002615
396,New York,64894,2722257,19337685,519990,12398302,314500,297059,223640,228940,20209,58385,67427,78380,67006,71656,31121,310527,21207,50789,89177,118729,59840,37977,35596,23679,15586,36,2017,14.07747101,4.194042055
397,North Carolina,52752,1471339,10009042,242594,6183951,171200,169132,123411,119795,9779,31921,43589,36340,27353,38426,19758,165769,16211,32606,45407,62669,27534,24472,15175,12183,6949,37,2017,14.70009817,3.922961227
398,North Dakota,61843,75279,729355,11281,458720,194700,31694,21345,15999,2090,5221,7602,5993,3126,3415,4183,27822,2602,3978,6732,10918,5399,1656,2880,1843,1336,38,2017,10.3213113,2.459234391
399,Ohio,54021,1582931,11330762,273848,7016838,144200,158550,107709,98770,6658,28373,34217,31532,23956,32717,12956,141489,11637,21792,48314,50223,22905,19744,16330,9684,5850,39,2017,13.97020783,3.902726556
400,Oklahoma,50051,603864,3814990,90914,2307313,137400,77491,49900,46105,4666,13646,18994,13877,7093,14311,8565,64691,5419,13743,18567,21000,13224,9896,7005,4021,3130,40,2017,15.82871777,3.940254313
401,Oregon,60212,537974,4064467,98891,2533302,319200,91666,54326,55128,5591,13539,19805,22018,13253,18558,11147,73480,4326,9747,21175,27155,14369,9785,10554,7822,4521,41,2017,13.23602824,3.903640387
402,Pennsylvania,59195,1548720,12398112,312507,7749003,181200,194485,133260,121374,10303,28361,35459,43422,38888,39547,14571,176428,12883,22842,62476,66302,26976,17780,22102,14711,8562,42,2017,12.49157936,4.032867196
403,Rhode Island,63870,118367,1018556,30853,667383,257800,25769,15192,14974,1436,2459,3253,6095,4340,3945,1544,20949,1328,3249,8006,8781,2983,1130,2274,1286,1129,44,2017,11.62105962,4.622982605
404,South Carolina,50570,751907,4882720,128470,2980713,161800,93055,67100,61697,7143,16145,23663,19145,11162,21756,9401,86807,8302,17032,26205,29672,16317,12561,8948,5965,3795,45,2017,15.39934709,4.310042597
405,South Dakota,56521,109099,838991,14238,504059,167600,23554,14265,13147,1103,4306,4679,3426,2310,5898,2920,15736,1310,2641,7637,5742,2751,1780,3406,1119,1026,46,2017,13.00359599,2.824669334
406,Tennessee,51340,980284,6555389,149584,4065984,167500,116277,82591,73074,7856,20585,26800,21440,16451,26260,13524,101075,8670,20990,32873,38908,17055,13718,13834,5157,4460,47,2017,14.95386468,3.678912657
407,Texas,59206,4076905,27676343,659241,17111410,172200,329527,249043,218295,19411,52193,80079,72401,48946,79928,34551,308465,29711,68169,96428,112078,58956,40451,34061,17835,9649,48,2017,14.7306492,3.852639847
408,Utah,68358,296557,3052633,49342,1823020,275100,79187,44742,44979,3363,8414,13853,14317,7963,16389,8961,60724,6812,12374,22625,20001,10240,6165,6294,3460,1750,49,2017,9.714793753,2.706607717
409,Vermont,57513,67841,599862,11784,386325,226300,19223,9193,11679,823,2386,3246,4228,2809,3135,1322,13485,612,577,6191,4987,1487,735,2494,2930,859,50,2017,11.3094345,3.050281499
410,Virginia,71535,874483,8221024,183420,5147753,273400,187598,135036,127527,7940,28145,45872,45115,38127,33309,14147,193565,15336,32239,49789,70196,36258,21409,20563,10497,6276,51,2017,10.6371542,3.56310802
411,Washington,70979,802159,7273713,170673,4556506,339000,152649,103353,95460,6040,20518,41303,36108,21182,29819,12042,143913,11703,25030,36929,49975,27311,16320,18290,8432,4823,53,2017,11.02819152,3.745699007
412,West Virginia,43469,336301,1762467,49461,1073113,119800,36352,21546,21775,3205,8332,8651,4940,3026,8251,2712,27335,2727,6410,6030,10146,5826,5367,2194,2427,2194,54,2017,19.08126507,4.609113858
413,Wisconsin,59305,639564,5645194,98231,3516933,178900,90418,57566,55926,2301,13709,17870,18120,13472,15911,8457,77392,6814,13054,28152,27368,12744,9718,7381,4546,3715,55,2017,11.32935378,2.793087045
414,Wyoming,60434,64054,565242,12742,343179,214300,23838,13561,12393,634,3105,5141,4446,2280,4909,2274,17492,1446,3587,5315,5941,3111,1880,2771,1520,383,56,2017,11.33213739,3.712931153
416,Maine,55602,151541,1301941,21940,807602,197500,22665,12634,12378,1666,3250,4923,3663,2655,2491,1631,18074,641,1251,6963,5345,2186,2171,2382,2559,1514,23,2018,11.63962115,2.716684704
417,North Carolina,53855,1417873,10100431,231584,6240946,180600,172935,120554,118393,8658,27669,41301,37878,26319,33180,19122,167726,16563,31046,49513,61898,29034,19196,15888,8308,7501,37,2018,14.0377475,3.710719497
418,Georgia,58756,1468642,10238658,233226,6408784,189900,138665,116662,114675,8384,26008,41134,34984,25062,33691,19918,151649,13000,28680,54085,51172,28586,20756,16941,10636,7481,13,2018,14.34408689,3.639161501
419,Alaska,74346,78620,720869,23206,443595,276100,29304,21037,18209,1551,4692,7349,4293,3754,3736,3586,28963,2853,6657,8097,8683,4543,2872,3497,1354,690,02,2018,10.90628117,5.231348415
420,Alabama,49861,800422,4763828,115593,2910682,147900,69271,49437,48757,3492,15122,14929,13092,10247,16735,12447,59781,6531,12572,22209,23429,11596,7906,6297,4780,2874,01,2018,16.80207598,3.971337302
421,Vermont,60782,66013,601261,11454,384281,233100,18783,10256,10576,790,2475,2575,2787,3346,2657,1245,13788,669,1950,6240,3130,2406,1357,1789,2004,1287,50,2018,10.97909227,2.980631361
422,Nevada,58646,387327,2991978,77110,1839652,292200,65688,44989,44802,4903,16063,22133,11566,8622,18429,7247,59788,4237,9490,12777,19677,12166,9516,9775,7687,4466,32,2018,12.94551631,4.19155362
423,West Virginia,44097,312188,1753476,43317,1062831,121300,40527,23081,23465,3515,8709,7164,5596,5199,9625,3043,28818,1996,5803,8564,10846,6027,3802,5420,2412,1676,54,2018,17.80395055,4.075624441
424,Oklahoma,51924,596949,3825027,76571,2306322,140000,70372,50943,46531,5397,13752,19512,12748,7701,16696,8985,66421,6132,13093,19139,24274,15243,6886,6351,3888,2468,40,2018,15.60639964,3.320048111
425,Wisconsin,60773,625826,5665153,88650,3509097,188500,87304,52577,53212,2391,11930,14814,18603,14044,13338,6835,74656,3483,12656,27868,22901,11763,9903,7672,5645,3898,55,2018,11.04693907,2.526290952
427,Virginia,72577,884647,8264095,170915,5141766,281700,182399,135392,126953,6179,23656,44445,46309,37771,30281,12490,198595,17920,35934,50131,63315,33027,24511,16179,14715,6613,51,2018,10.70470511,3.324052475
428,North Dakota,63837,78676,736671,10420,459075,198700,26567,17568,15438,870,2873,5993,5639,2767,3928,2762,24479,2769,4016,8079,10006,3186,1532,1607,952,859,38,2018,10.67993718,2.269781626
429,South Carolina,52306,755215,4944754,120340,3006493,170800,101049,70082,71176,5340,18289,25713,23426,14243,18923,10268,100429,10553,17304,26390,33375,16655,12023,9434,8761,6763,45,2018,15.27305504,4.002670221
430,Oregon,63426,516570,4113142,96560,2551993,341800,108712,64547,68151,4429,14800,31623,20899,13057,16450,11813,97273,8848,18668,20374,32859,19028,10519,9794,7060,5548,41,2018,12.55901206,3.783709438
431,Wyoming,61584,62301,563374,10510,340322,230500,20043,13581,12497,1520,3897,6567,3110,1630,2746,1121,20367,1638,2943,4773,6892,3384,1916,1651,1613,1268,56,2018,11.0585508,3.088251715
432,California,75277,4969326,38818454,1035440,24517075,546800,470288,352311,338834,27111,74391,124956,121781,80686,103050,49772,477459,43756,85452,133012,171887,88191,58031,54093,35680,21043,06,2018,12.80145263,4.223342303
433,Mississippi,44717,567645,2886448,88975,1754914,123300,46079,37520,39047,3213,12056,12204,7796,6492,15063,8579,45502,4869,15381,14556,17398,8243,6456,4696,3541,1427,28,2018,19.66586614,5.070049017
434,Connecticut,76348,361377,3468263,94728,2196882,277400,85033,55873,58362,2672,12969,15856,18027,17370,15442,7022,75515,5452,12636,29253,25393,13180,8026,9916,7376,3003,09,2018,10.41953854,4.311929362
435,Texas,60629,4180675,28074573,645665,17339060,186000,317403,242277,219863,16789,50791,74053,74895,48980,74341,34950,303702,29498,62148,104986,107999,54275,39900,36669,16222,10443,48,2018,14.89132177,3.723760112
436,Maryland,83242,528203,5899819,147310,3698256,324800,117382,89112,93211,6556,15351,29129,32113,29879,21629,11437,129281,8791,21644,38860,47424,24651,15782,14365,7402,3404,24,2018,8.952867876,3.983228852
437,Florida,55462,2840977,20882651,480346,12485359,230600,362196,233301,237676,24149,68329,91286,68532,50584,75092,37283,325817,27907,57725,82465,97710,54083,46632,45973,31895,26587,12,2018,13.60448441,3.847274235
438,Massachusetts,79835,663918,6665083,163707,4362578,400700,140666,86354,92663,4723,16877,25527,34872,30613,20173,8489,125616,8029,12721,45655,50213,20707,13001,13820,8786,6085,25,2018,9.961136268,3.752528895
439,District of Columbia,85203,108055,669031,29695,482425,617900,30163,30461,29902,1359,6031,7085,12381,15402,4965,4363,47361,2387,5098,10620,19403,10004,6365,3898,1375,1213,11,2018,16.15097058,6.155360937
440,Utah,71414,280773,3110944,45341,1859529,303300,78426,45960,45781,4266,7808,17352,15314,8882,12836,6190,68711,7805,14978,15336,23714,11123,8356,5546,3012,1871,49,2018,9.025331218,2.438305614
441,New York,67844,2591391,19037564,464085,12130043,325500,284565,226311,231703,24457,53143,69779,77402,68677,65621,35902,313155,24457,48259,91840,120708,61849,37544,36913,21499,14945,36,2018,13.61198838,3.82591389
442,New Jersey,81740,832133,8739304,209985,5455182,344000,148759,114729,116592,9557,25028,29323,42244,33548,38269,13851,141172,8761,20906,61954,53620,27011,18596,20226,11360,8887,34,2018,9.521730792,3.84927579
443,Ohio,56111,1578673,11362304,263332,7002159,151100,154755,106354,100594,9362,26746,30607,31266,29840,34076,12747,138460,9288,22962,46877,45976,23074,18381,17949,13060,9381,39,2018,13.89395144,3.760725799
444,Missouri,54478,786330,5943658,115540,3642782,162600,129900,87771,87178,7380,22439,29167,28686,19640,24156,14175,121896,10786,17819,39032,46124,19839,13161,12367,8368,7453,29,2018,13.22973159,3.1717517
445,Pennsylvania,60905,1517870,12394000,290032,7711169,186000,178078,121042,119790,8361,30981,32911,39306,35748,35175,14031,164014,11253,23044,59228,56528,25583,22490,20224,13480,9002,42,2018,12.24681297,3.761193666
446,Michigan,56697,1373349,9774124,243435,6047260,162500,116091,76954,75651,5727,20371,23900,25835,22960,25388,10166,104073,7737,12480,33595,37305,16423,12230,13417,12213,7205,26,2018,14.05086533,4.025542146
447,Nebraska,59566,206341,1875342,32390,1134302,161800,42954,26576,27886,2076,5496,8116,8399,5952,7537,4010,38419,3626,7073,13724,13037,6144,4604,3182,2180,892,31,2018,11.00284641,2.855500563
448,Idaho,55583,203264,1723154,30457,1014353,233100,48565,27869,27314,2990,5142,9733,8134,4230,9328,6683,36146,4161,6607,14186,12822,6910,2789,3652,3190,866,16,2018,11.79604377,3.00260363
449,New Mexico,47169,399456,2051759,52859,1218312,174700,55083,38763,35696,4259,8912,13291,9688,8216,15399,6272,48118,8444,8400,13249,19593,8473,6477,4348,3365,2110,35,2018,19.46895323,4.338707983
450,Hawaii,80212,122143,1382448,24776,808253,631700,39622,33710,33583,657,6610,12291,9519,5900,10059,4790,47760,5402,11192,15722,16821,7386,3887,3832,2248,803,15,2018,8.83526903,3.065376807
451,South Dakota,56274,111626,852419,12669,511407,171500,23374,14517,14230,765,3508,5101,3655,1282,6293,2018,15713,1243,6765,6428,4702,3785,1887,1643,1384,910,46,2018,13.09520318,2.47728326
452,Washington,74073,759013,7400557,150747,4623662,373100,167858,112794,109678,5691,22250,46540,36288,24368,32879,19203,155649,14953,32065,40317,49782,31798,17607,16111,13445,6394,53,2018,10.25616045,3.260337802
453,Rhode Island,64340,131205,1016469,28729,662159,273800,26604,16144,15279,541,3741,4546,6175,4321,5006,1329,21732,2504,2913,6682,7219,4227,2455,2732,1564,1127,44,2018,12.90791947,4.338686026
454,Arizona,59246,983499,7013444,166472,4177997,241100,130653,90864,88722,8283,23602,36259,25722,18988,30254,13603,122738,12037,23273,31422,40827,24156,14744,14260,11051,7816,04,2018,14.02305344,3.984493048
455,Tennessee,52375,1011016,6603013,168056,4083965,177500,127680,86245,87005,8130,24616,30288,21953,16655,30406,13090,113412,11709,26868,33031,38939,21305,13877,11823,9449,6249,47,2018,15.31143434,4.115020574
456,Kansas,58218,338175,2825680,50933,1707689,159400,76227,49956,46894,3377,10831,18453,15903,10614,11482,10101,68367,6096,14077,17499,23941,14185,6515,7718,4435,2384,20,2018,11.96791569,2.98256884
457,Colorado,71953,537492,5577020,109633,3545347,373300,164078,104817,98643,9729,21167,41080,36169,22281,25592,16158,147616,11778,23579,37677,50944,25059,18193,20141,9955,6134,08,2018,9.637620091,3.09230662
458,Indiana,55746,852638,6489261,133552,4013433,147300,103170,67188,69375,4391,18724,22587,19496,16346,25166,11801,89874,8854,18038,28127,32717,14826,12909,10289,6960,3843,18,2018,13.1392157,3.327625003
459,Kentucky,50247,730408,4326305,101387,2673102,148100,80577,50972,49542,4563,12839,19479,12492,9261,19940,6535,66521,5463,15185,21232,22760,13475,9414,6149,4409,2427,21,2018,16.88295208,3.792859382
460,Louisiana,47905,843626,4529028,126908,2761357,167300,62103,51241,44085,5962,13890,20197,11927,9909,16873,9350,60331,5325,11076,17040,26599,11495,8324,8287,4838,2342,22,2018,18.62708731,4.595856313
461,Illinois,65030,1509247,12447271,340927,7786441,203400,216996,156627,148406,9539,32835,45801,50983,39053,43924,22705,194152,12727,31376,82719,73159,32971,25824,23236,13915,9106,17,2018,12.12512365,4.378470215
462,Iowa,59955,343504,3055939,54447,1866076,152000,57421,37587,33072,1501,8779,8808,10481,7973,11673,4295,48192,3834,7135,22148,14068,7962,5139,4630,4165,1578,19,2018,11.24053851,2.917726824
463,New Hampshire,74991,100220,1312006,24930,844700,270000,38280,21130,22503,701,5864,7857,8024,6003,7089,1971,28177,1387,3200,10597,9888,4152,4412,4055,3530,2412,33,2018,7.638684579,2.951343672
464,Arkansas,47062,504504,2925448,56799,1767266,133100,49673,34598,35126,4213,11932,12113,7410,5731,12046,7564,43979,3937,11465,12923,14635,8126,6717,6016,3337,2568,05,2018,17.24535866,3.213947419
465,Delaware,64805,117242,940786,23826,572590,255300,23496,15720,17675,729,4056,5804,4854,3980,4927,1531,22687,740,4115,9117,8724,3400,1821,2690,1526,1262,10,2018,12.46213273,4.161092579
466,Minnesota,70315,529077,5488344,96659,3395080,235400,89627,57701,54527,3446,10811,17737,16993,12625,17637,8465,68453,5095,8565,36956,26653,8433,7305,8544,7053,3624,27,2018,9.640011632,2.847031587
467,Montana,55328,135114,1037462,16789,622941,249200,31335,17702,17590,1589,3676,7741,4701,2856,6386,3010,23216,1204,4564,8961,7777,2780,4215,2573,1864,1354,30,2018,13.02351315,2.695118799
468,Mississippi,45792,564192,2877843,81878,1734484,128200,35399,32675,27419,3228,8312,10594,9871,4212,8570,6377,38453,4217,8702,10958,16344,7515,4486,3120,3300,1452,28,2019,19.60468309,4.720597019
469,Missouri,57409,770175,5953025,104626,3630849,168000,109078,71062,64700,6315,17031,21487,23268,15576,24888,7445,90476,6163,14684,31238,35187,15899,10500,8951,8889,4251,29,2019,12.93754016,2.881584996
470,Montana,57153,131882,1042682,19404,624910,253600,34377,18601,20641,1087,7071,6147,6103,3101,5917,3374,26732,2170,5357,8206,8937,5244,2545,1878,3386,1519,30,2019,12.64834341,3.105087133
471,Nebraska,63229,185761,1877629,29678,1129367,172700,41840,28305,24120,3135,6841,7662,6963,7079,6055,6069,35860,4606,6150,9989,11176,6105,5285,5253,2760,1101,31,2019,9.893381493,2.627843739
472,Nevada,63276,379564,3037199,71436,1859982,317800,71940,50494,54863,5182,17403,27375,16406,6540,15721,10399,74026,5327,13158,13966,24140,14969,9829,11708,7254,5006,32,2019,12.49717256,3.840682329
473,New Hampshire,77933,95711,1316495,20538,842279,281400,34469,20748,21414,1256,4898,7435,6057,6032,4684,3367,28037,1900,3778,10806,9543,3975,3228,3391,3358,2183,33,2019,7.270137752,2.438384431
474,New Jersey,85751,798262,8712974,200446,5407328,348800,147511,115093,114391,8599,26481,26907,42961,32543,28614,14452,150427,11419,22393,58181,50728,27488,20561,18147,13003,7564,34,2019,9.161762677,3.706932518
475,New Mexico,51945,373230,2053305,47851,1212457,180900,53380,35999,35213,3869,8940,12828,8876,7028,9729,5436,51179,5840,10781,13050,14673,8805,4623,5818,5035,2587,35,2019,18.17703653,3.946614189
476,New York,72108,2467006,18932499,410940,11999360,338700,278425,220671,219037,20767,47810,61765,86533,63735,66908,29358,304671,24921,50705,83472,118722,61849,31494,33955,21443,13147,36,2019,13.03053548,3.42468265
477,North Carolina,57341,1386122,10199239,216863,6279222,193200,181686,127950,127396,11332,31584,48664,35379,28977,36585,14061,182786,17787,32973,48650,62124,37296,18831,19068,12019,6598,37,2019,13.59044533,3.453660342
478,North Dakota,64577,78112,738814,10109,454069,205400,23418,15497,14374,1386,3052,4959,5467,2821,4291,2192,21880,2233,3107,6846,9288,2783,1887,2278,789,660,38,2019,10.57262044,2.226313622
479,Ohio,58642,1484862,11362386,246455,6970151,157200,152385,100548,91958,6889,23863,31657,34005,23276,24193,13193,136207,9804,19483,43529,46246,24622,16683,14434,10924,6781,39,2019,13.06822352,3.53586314
480,Oklahoma,54449,583029,3841763,74400,2305434,147000,63986,42851,42748,4175,11624,14272,14148,6610,14502,5811,59674,5458,11603,17709,19629,12083,6638,6482,3869,2128,40,2019,15.17607932,3.227158097
481,Oregon,67058,470643,4136542,96305,2556209,354600,90886,58843,56880,4548,15729,23116,18107,11868,16775,8762,82574,5732,13404,23219,32225,12948,9156,8510,6665,3864,41,2019,11.3776918,3.76749319
482,Pennsylvania,63463,1489333,12387178,267079,7659543,192600,188438,132922,123979,10507,32283,36803,39612,35825,38868,13091,178159,13685,24616,63570,60353,27571,21712,21130,14672,9592,42,2019,12.02318236,3.486879047
483,Rhode Island,71169,110244,1018586,21856,659702,283000,25235,13655,17482,1295,3815,4540,4757,3958,4658,2146,22102,2802,2496,7474,7322,5129,2053,2014,1440,407,44,2019,10.82323927,3.313011026
484,South Carolina,56227,692744,5003235,105070,3022520,179800,92839,66005,63222,5699,17529,20611,16496,12947,23661,8978,82858,7771,18531,29643,28971,15259,10362,9016,5620,4054,45,2019,13.84592169,3.476238371
485,South Dakota,59533,101946,854648,13215,505701,185000,22746,13545,13997,595,4233,5017,4535,2861,4267,1756,19612,882,3732,5687,6980,3304,1805,2474,1801,877,46,2019,11.92841965,2.613204245
486,Tennessee,56071,922176,6656385,139135,4099864,191900,116830,75802,80756,6983,20181,26563,23575,17535,21524,14855,106358,11606,20068,30047,40837,18451,11449,12313,8170,3617,47,2019,13.85400634,3.393649155
487,Texas,64034,3865010,28361423,580831,17475065,200400,315299,231888,221127,20789,48603,73359,75921,52892,70555,32117,305713,29566,57126,94759,116181,59265,38071,31776,17401,8870,48,2019,13.62770126,3.323770183
488,Vermont,63001,60897,599030,10408,382851,233200,20614,10474,12240,1123,3031,4259,3745,3805,4271,1567,14408,678,2110,3963,6791,2881,1571,2077,1838,805,50,2019,10.16593493,2.718551081
489,Utah,75780,281279,3157996,46542,1889104,330300,71728,44771,43655,1712,9378,14833,16013,8389,14140,9202,61328,8133,11115,18853,25881,8273,6507,4052,3168,2444,49,2019,8.906882719,2.463707662
490,Virginia,76456,822775,8279357,160665,5117865,288800,191405,140042,136807,8118,28147,38928,52860,42428,31023,13772,208196,16644,31075,58649,73851,33140,26042,19233,12162,6053,51,2019,9.937667865,3.139297344
491,Washington,78687,730240,7470152,165153,4648064,387600,148848,101216,98542,6227,23768,40680,33930,19272,28921,14292,141256,11555,24266,40060,47086,27609,15278,16628,11932,5344,53,2019,9.775436966,3.553156755
492,West Virginia,48850,278734,1739050,44404,1046098,124600,35355,19065,21395,2560,9144,6169,3300,3372,8374,2513,25894,2420,5781,7714,7703,4121,5178,3272,2485,1786,54,2019,16.02794629,4.244726593
493,Wisconsin,64168,591486,5675557,88735,3495285,197200,82469,53411,48257,2666,10147,15032,17616,12010,12881,7260,67564,5139,9853,29205,25122,10250,6390,6787,5175,3747,55,2019,10.42163791,2.538705714
494,Wyoming,65003,56945,563528,9572,338977,235200,20380,12123,11164,717,2600,5950,2179,2459,3392,897,17588,1210,3294,4878,4889,2520,2770,1594,1609,523,56,2019,10.10508795,2.823790405
496,Illinois,69187,1420542,12373209,295790,7695978,209100,220616,153255,154924,8957,35415,47118,48373,38835,47569,18098,201120,15076,33867,80538,65647,36033,27139,25731,14485,9663,17,2019,11.48078886,3.843436143
497,Georgia,61980,1373909,10332523,232602,6426504,202500,154324,129075,124490,10982,33492,46017,37341,26573,33248,22107,171107,16413,30816,51931,63614,30583,22503,18879,12735,6091,13,2019,13.29693629,3.619417338
498,Idaho,60999,195984,1753946,26436,1032612,255200,47951,29658,25168,1184,7865,10392,7346,3675,9816,3903,37016,3745,7357,13262,12724,6775,3038,3064,3021,1840,16,2019,11.17389019,2.560109702
499,Hawaii,83102,128722,1379078,23961,793015,669200,38449,36548,31869,2089,7705,15844,9587,4626,8843,4491,48866,5304,10357,12905,17265,10248,5011,3940,2157,1230,15,2019,9.333917298,3.021506529
500,Indiana,57603,775823,6517430,129731,4020180,156000,113848,71481,70960,6949,19308,22853,22061,17553,21553,11192,98281,6709,15377,31631,33374,16293,11804,13179,7386,6688,18,2019,11.90381792,3.226994811
501,Iowa,61691,341613,3058938,55613,1860447,158900,57581,38943,35754,2591,10073,11641,11750,6243,13906,7037,46180,3977,8572,19850,17920,6247,6474,5761,3672,2224,19,2019,11.16769938,2.989227858
502,Kansas,62087,323189,2826818,50216,1693135,163200,67979,46233,42750,2966,11752,13957,13813,8121,14076,8079,60642,5997,12109,20268,20433,11042,6105,7552,3737,1740,20,2019,11.43296102,2.96585919
503,Kentucky,52295,703627,4326675,92358,2654016,151700,79992,53410,47651,5427,14409,16556,13265,10735,14427,7994,69356,5080,11594,23995,21526,13428,8589,9077,5033,2739,21,2019,16.26253416,3.479933806
504,Louisiana,51073,857894,4515876,109383,2733214,172100,59464,49014,46873,4504,12585,18663,11874,10083,19888,8661,59437,5713,13091,19374,24577,11507,9122,5609,4752,2142,22,2019,18.99728868,4.001991794
505,Maine,58924,141803,1304100,20266,804364,200500,33357,19046,19221,1257,4841,6502,6750,3957,6519,2465,22714,1227,3270,10463,7199,3648,3173,4039,2834,2414,23,2019,10.87362932,2.519506094
506,Maryland,86738,532241,5898360,132599,3678356,332500,126484,91446,91853,6736,20288,24809,29496,30025,18805,14044,127368,9390,21653,40902,45955,23828,13268,14001,8414,5888,24,2019,9.023542137,3.604844121
507,Massachusetts,85843,625763,6656430,135907,4335006,418600,137445,85703,92401,3812,15522,19361,33970,30767,24883,6987,120504,7043,12232,55397,47346,18979,9708,14957,6947,5495,25,2019,9.400880051,3.135105234
508,Michigan,59584,1269062,9772151,231446,6010341,169600,114516,74596,77769,5107,18647,25438,26407,19953,21409,12211,105490,6205,14932,35676,36985,17270,12270,12480,11105,5442,26,2019,12.98651648,3.850796486
509,Minnesota,74593,494683,5515416,89847,3388908,246700,93155,60409,53849,4373,13001,15614,20154,11007,19395,8063,69685,3790,8751,37568,25724,10695,7091,8171,8433,4035,27,2019,8.969096801,2.651208
510,Connecticut,78833,347149,3460446,93031,2178548,280700,79155,51670,53573,3944,8920,12096,19427,16266,12056,4382,71019,3176,7142,34272,24027,13190,7848,7970,4985,2633,09,2019,10.03191496,4.270321333
511,Florida,59227,2664772,21048884,428317,12506787,245100,338516,231502,225799,24584,68709,84752,69513,49066,74425,33763,312639,21323,54659,84695,103712,54019,38750,40572,32539,27032,12,2019,12.65992059,3.424676538
512,Alabama,51734,739108,4781688,102860,2903613,154000,73369,52361,46343,6598,12967,15428,14021,9398,15982,6152,66749,6585,12304,21403,25282,13692,8048,5305,3840,2245,01,2019,15.45705199,3.542483106
513,Alaska,75463,71938,713725,18915,437165,281200,36943,25888,24246,2235,7112,11194,6698,2607,7459,4115,35574,3229,7149,9910,11862,6169,5893,2718,2239,965,02,2019,10.0792322,4.326741619
514,Arizona,62055,958442,7116266,157627,4233538,255900,133734,88236,85395,7852,20951,34890,27108,19623,22713,12858,126293,8444,22576,32187,36133,23393,15906,15832,10405,8755,04,2019,13.46832735,3.723292433
515,Arkansas,48952,474739,2929117,59568,1757980,136200,46702,29070,35454,2657,11359,11840,8346,4395,10953,5721,43658,4221,9108,12598,13491,9293,4829,4501,2911,3572,05,2019,16.20758065,3.388434453
516,California,80440,4552837,38733295,948199,24380867,568500,456873,333269,320282,26907,69366,124532,120251,76471,81337,41589,464016,33520,69751,132753,160668,85354,54340,55343,39314,22508,06,2019,11.75432403,3.88911108
517,Colorado,77127,526979,5637904,105320,3581021,394600,165728,102640,95776,7067,20671,37736,34267,19984,22349,17504,142153,12013,25712,40966,45098,26720,19591,14981,8630,4705,08,2019,9.347072955,2.941060664
518,Delaware,70176,106383,944955,20423,567107,261700,18827,14808,13559,565,4301,5180,3682,4161,4557,1257,19960,1046,3362,6070,8324,2681,1791,2686,1216,1191,10,2019,11.25799641,3.601260432
519,District of Columbia,92266,90534,673041,25146,483772,646500,31152,25942,26142,1429,4917,5258,12394,15048,3534,1447,43228,2304,3404,7330,21164,8270,3704,3490,1349,1069,11,2019,13.45148364,5.197903144
